company_a_name,company_a_address,company_a_state,company_a_activity,company_b_name,company_b_address,company_b_state,company_b_activity,same_entity
JRD NIDHI,"417 SHAKYA NAGAR, KHANDARINEAR AT D.A.V.  ",Uttar Pradesh,Financial intermediation,JINDAL ALUMINIUM,"JINDAL NAGAR,TUMKUR ROAD,BANGALORE  ",Karnataka,Manufacturing,0
CRUZE FITNESS,C-15MANSAROVER GARDEN  ,Delhi,Manufacturing,CRUZE FITNESS PVT LTD,C-15MANSAROVER GARDEN  ,Delhi,Manufacturing,1
CLOCK TOWER INFRAVENTURES,"C/o RAVINDRA KASHINATH AMBADKAR BASEMENTASHIRWAD COMM COMPLEX, RAMDASPETH,  ",Maharashtra,Construction,CLOCK TOWER INFRAVENTURES LIMITED,"C/o RAVINDRA KASHINATH AMBADKAR BASEMENTASHIRWAD COMM COMPLEX, RAMDASPETH,  ",Maharashtra,Construction,1
TIRUMALA INFRAHEIGHT,"17, Sitabagh ColonyMeerapath  ",Madhya Pradesh,Construction,TIRUMALA INFRAHEIGHT PVT LTD,"17, Sitabagh ColonyMeerapath  ",Madhya Pradesh,Construction,1
D SOURCING SOLUTIONS,"H.NO. 6-3-1093,FLAT NO. 503, V-V-VINTAGE BOULEVARDRAJ BHAN ROAD, SOMAJIGUDA  ",Telangana,Other community social and personal service activities,CANDOUR LIFESCIENCE,"135, SUNVILLA RAW HOUSEGURUKUL ROAD, MEMNAGAR  ",Gujarat,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
STUDIO KUNST OPC,Shop No. 2 Ground Floor515 Narayan Peth  ,Maharashtra,Real estate renting and business activities,EXOTICA REALESTATE MAINTENANCE,"CLUB HOUSE, KALHAAR EXOCTICASCIENCE CITY ROADSOLA AHMEDABAD  ",Gujarat,Real estate renting and business activities,0
KOPPER J S ENGINEERING,"57, KRISHNA COLONYSINGANALUR  ",Tamil Nadu,Manufacturing,VOICE RESPONSE CONSULTING,"516, SACRED WORLD, SOUTH BLOCK,WANAWADI  ",Maharashtra,Real estate renting and business activities,0
VASPAR TECHNOLOGIES,"NO 1, 3RD MAIN ROADWEST SHENOY NAGAR  ",Tamil Nadu,Real estate renting and business activities,ASIN DAIRY,"19, Civil LinesShahjahanpur Road  ",Uttar Pradesh,Manufacturing,0
OMMI FORGE,"Plot No.300, 301 & 302, III PhaseMalur Industrial Area  ",Karnataka,Health and social work,DELIVERY PLANET INDIA,"K-601,PURVA FOUNTAIN SQUAREVARTHUR HOBLI,VARTHUR MAIN ROAD,MARATHALLI  ",Karnataka,Real estate renting and business activities,0
CML HOSPITALITY,"FLAT NO. 10, SHREE ADITYA CHS, PLOT NO. 42SECTOR 29, VASHI  ",Maharashtra,Hotels and restaurants,CML  HOSPITALITY,"FLAT NO. 10, SHREE ADITYA CHS, PLOT NO. 42SECTOR 29, VASHI  ",Maharashtra,Hotels and restaurants,1
B P THREADS,"32-A,SARABHA NAGARLUDHIANA  ",Punjab,Manufacturing,BPTHREADS,"32-A,SARABHA NAGARLUDHIANA  ",Punjab,Manufacturing,1
MAA KALI PROPERTIES,"1A,R.G.KAR RD   ",West Bengal,Real estate renting and business activities,MAAKALIPROPERTIES,"1A,R.G.KAR RD   ",West Bengal,Real estate renting and business activities,1
WOW ENTERTAINMENT,"B-13,PushpanjaliS.R. Marg, Coldongri, Vile Parle (East)  ",Maharashtra,Real estate renting and business activities,WOW ENTERTAINMENT PVT LTD,"B-13,PushpanjaliS.R. Marg, Coldongri, Vile Parle (East)  ",Maharashtra,Real estate renting and business activities,1
EDEN INFRAESTATE,"H. No. 290/9, Basement, Bihari ParkDevli Road  ",Delhi,Real estate renting and business activities,EDEN INFRAESTATE PRIVATE LIMITED,"H. No. 290/9, Basement, Bihari ParkDevli Road  ",Delhi,Real estate renting and business activities,1
SANGHAVI UNBREAKABLE POLYMERS,"172, VISANJI NAGARJALGAON  ",Maharashtra,Real estate renting and business activities,NENISSA CONSTRUCTIONS,"H No - 1 - 10 - 104 / 42 / 3Allamthota Bai, Begumpet,  ",Telangana,Construction,0
JOLLEN COMMUNICATIONS,"B - 3, FORAM BUNGLOWSOPP. GUJARAT HIGH COURT, SOLA  ",Gujarat,Transport storage and communications,JOLLEN COMMUNICATIONS PRIVATE LIMITED,"B - 3, FORAM BUNGLOWSOPP. GUJARAT HIGH COURT, SOLA  ",Gujarat,Transport storage and communications,1
RPG CABLES,"HEBBAL INDUSTRIAL AREA,BELAVADI POST,MYSORE.  ",Karnataka,Health and social work,RPG CABLES PVT LTD,"HEBBAL INDUSTRIAL AREA,BELAVADI POST,MYSORE.  ",Karnataka,Health and social work,1
COIFFURE ONLINE SERVICES,"19/295, KAMATI STREETCHINNA BAZAR  ",Andhra Pradesh,Real estate renting and business activities,TRIKON ENGINEERS,"52-A,SHANKESHWAR NAGAR SOCIETYNEAR A.I.R.STATION,MAKARPURA ROAD,  ",Gujarat,Manufacturing,0
QUNICHEM,"O-18, KANAKIDHI OPP GANDHISAMRITH HALLNANPURA SURAT  ",Gujarat,Manufacturing,COVENANT IMPORTERS,KAPPIL HOUSEKUMARAKOM P.O. (NORTH)  ,Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
S WAVE SYSTEMS,"No. 1895,8th Cross, 4th MainHAL III Stage, Bangalore  ",Karnataka,Transport storage and communications,SWAVESYSTEMS,"No. 1895,8th Cross, 4th MainHAL III Stage, Bangalore  ",Karnataka,Transport storage and communications,1
H R FOREX AND CAPITAL MANAGEMENT INDIA,"24/68-A, 4TH FLOOR,BIRHANA ROAD  ",Uttar Pradesh,Financial intermediation,YOULINE MARKETING,"SHOP NO. 319, 3RD FLOOR,J. P. COMPLEX, NARODA,  ",Gujarat,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
TRAICON EVENTS,"NO.610, 17TH 'B' CROSSINDRANAGAR 2ND STAGE  ",Karnataka,Education,TRAICON EVENTS PVT. LTD.,"NO.610, 17TH 'B' CROSSINDRANAGAR 2ND STAGE  ",Karnataka,Education,1
ORIGZO TECHNOLOGIES,"A-302, DEV SRUSHTI - I,SIMANDHAR TOWER ROAD, BODAKDEV  ",Gujarat,Real estate renting and business activities,ORIGZO TECHNOLOGIES LIMITED,"A-302, DEV SRUSHTI - I,SIMANDHAR TOWER ROAD, BODAKDEV  ",Gujarat,Real estate renting and business activities,1
SKY SPA,"G-34, CROSS RIVER MALL, PLOT NO. 9B & 9CCENTRAL BUSINESS DISTRICT, SHAHDRA  ",Delhi,Real estate renting and business activities,SKY  SPA,"G-34, CROSS RIVER MALL, PLOT NO. 9B & 9CCENTRAL BUSINESS DISTRICT, SHAHDRA  ",Delhi,Real estate renting and business activities,1
LEDING PACKAGINGS,"11-3-1173,HABEEBNAGARHYDERABADHYDERABAD  ",Telangana,Manufacturing,ANAND ELECTRO PROJECTS,"SHOP NO.1, B-33/1 GROUND FLOOR GALI NO.05   ",Delhi,Manufacturing,0
WEALTHCARE TRADING,"85/6, SHANKAR PAWAR CHAWL, TADWADIS.M.ROAD, SION-CHUNABHATTI, SION  ",Maharashtra,Financial intermediation,CAREER CONVERGENCE,"NO.306, EMBASSY CHAMBERS,VITTAL MALLYA ROAD,BANGALORE  ",Karnataka,Real estate renting and business activities,0
CHIMAYO CHAINS,"PARK VIEW, IV FLOOR85,G.N.CHETTY ROAD,T.NAGAR,  ",Tamil Nadu,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,VARSHIK INFORMATION SOLUTIONS OPC,"NO.314, GST ROAD,CHROMEPET,  ",Tamil Nadu,Real estate renting and business activities,0
ADVARGO PROPERTIES,"6-3-679,1ST FLOOR, ELITE PLAZA,PUNJAGUTTA   ",Telangana,Construction,ADVARGO PROPERTIES PRIVATE LIMITED,"6-3-679,1ST FLOOR, ELITE PLAZA,PUNJAGUTTA   ",Telangana,Construction,1
AVANTHI OIL AND STEEL INDUSTRIES,A-93 2ND FLOORDEFENCE COLONY   ,Delhi,Real estate renting and business activities,RADHIKA STONES,"E-55, RIICO Industrial Area,Harmada Road, IIIrd Phase  ",Rajasthan,Mining and quarrying,0
MEDIVAC SURGICAL,"27/62, WEST PUNJABI BAGHPOST OFFICE STREET  ",Delhi,Manufacturing,MEDIVAC SURGICAL LIMITED,"27/62, WEST PUNJABI BAGHPOST OFFICE STREET  ",Delhi,Manufacturing,1
ADSCIENCE TECHNOLOGIES,"Plot #21, 2nd Floor, Park Avenue Colony,Dharam Karam Road, Ameerpet  ",Telangana,Real estate renting and business activities,ADSCIENCE  TECHNOLOGIES,"Plot #21, 2nd Floor, Park Avenue Colony,Dharam Karam Road, Ameerpet  ",Telangana,Real estate renting and business activities,1
JAMMU FILMS,Jogpur JakhJammu City  ,Jammu and Kashmir,Other community social and personal service activities,NEENA PAPERS,SU-100PITAMPURA  ,Delhi,Manufacturing,0
SAMRUD FOUNDATION FOR HEALTH RESEARCH,"Flat No. I Aspen 801, Shriram Suhaana ApartmentsDoddaballapur Road, Yelahanka  ",Karnataka,Health and social work,SAMRUD  FOUNDATION  FOR  HEALTH  RESEARCH,"Flat No. I Aspen 801, Shriram Suhaana ApartmentsDoddaballapur Road, Yelahanka  ",Karnataka,Health and social work,1
DEVAMRUTHAM FARMS AND PLANTATIONS,"DOOR NO. VII/444B, PADIKKALP O PERAMANGALAM  ",Kerala,Agriculture & allied,DEVAMRUTHAM FARMS AND PLANTATIONS LIMITED,"DOOR NO. VII/444B, PADIKKALP O PERAMANGALAM  ",Kerala,Agriculture & allied,1
TISTA DISTRIBUTORS,"209, A.J.C.BOSE ROAD, KARNANI ESTATESUITE NO. 124, 3RD FLOOR  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,TISTA DISTRIBUTORS PRIVATE LIMITED,"209, A.J.C.BOSE ROAD, KARNANI ESTATESUITE NO. 124, 3RD FLOOR  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
ROYALAXIS IMPEX,"SHOP-NO. WZ-98LAMBA COMPLEX, JWALA HERI MARKET, PASCHIM VIHAR  ",Delhi,Manufacturing,AINOS LOGISTICS,"PLOT NO. 88,KH NO-20 SAINIK ENCLAVECRPF CAMP PP NO.- JFP A- 187, NAJAFGARH,  ",Delhi,Transport storage and communications,0
HUMMER SECURITY,HOUSE NO. 114PHASE-7  ,Punjab,Real estate renting and business activities,HUMMERSECURITY,HOUSE NO. 114PHASE-7  ,Punjab,Real estate renting and business activities,1
ZILME HR AND COMMERCE,"NO.07, S.Y.NO.33/1, HORMAVU VILLAGE,K.R PURAM HOBLI BANGALORE EAST  ",Karnataka,Real estate renting and business activities,ESSAY TEXKNITS,40-41 COMMUNITY CENTRE NEWFRIENDS COLONYNEW DELHI  ,Delhi,Manufacturing,0
UDAAN EXPORTS,"1112, Ansal Bhawan BuildingKasturba Gandhi Marg  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,UDAAN EXPORTS PRIVATE LIMITED,"1112, Ansal Bhawan BuildingKasturba Gandhi Marg  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
FAVOURITE STOCKS,"No.19, Ground Floor, # 200/3, Lakshmi TowersR V Road, Jayanagar 2nd Block,  ",Karnataka,Financial intermediation,ECOGEN ENERGY,"1114, 11TH FLOOR, NEW DELHI HOUSE27, BARAKHAMBA ROAD  ",Delhi,Electricity gas and water supply,0
ANURAG PETROCHEMICALS,1/26 GALI NO 13VISHWAS NAGAR PANDAV ROADSHAHDARA  ,Delhi,Manufacturing,ANURAG  PETROCHEMICALS,1/26 GALI NO 13VISHWAS NAGAR PANDAV ROADSHAHDARA  ,Delhi,Manufacturing,1
PUTHUPALLY INDUSTRIAL ENTERPRISES,"KMC-XXX/315,K.P.A.C. JUNCTION,KAYAMKULAM--690 502.  ",Kerala,Manufacturing,PUTHUPALLY INDUSTRIAL ENTERPRISES PVT LTD,"KMC-XXX/315,K.P.A.C. JUNCTION,KAYAMKULAM--690 502.  ",Kerala,Manufacturing,1
MARWAH HOTELS,"8th Floor, MARWAH CENTRE,KRISHANLAL MARWAH MARG, ANDHERI (EAST)  ",Maharashtra,Hotels and restaurants,NEPTUNE INFRASTRUCTURE,205 AROHI COMPLEX NR GANESHPLAZA NAVRANGPURA   ,Gujarat,Construction,0
TAURUS VINIMAY,"""CORPORATE ZONE"", FIRANGI KALI TOWER4, GANGADHAR BABU LANE, 2ND FLOOR  ",West Bengal,Real estate renting and business activities,TAURUS VINIMAY PVT LTD,"""CORPORATE ZONE"", FIRANGI KALI TOWER4, GANGADHAR BABU LANE, 2ND FLOOR  ",West Bengal,Real estate renting and business activities,1
SUSWANTH DIGIPRIMETECH,"No.713, 3rd Floor, The Marwadi Bldg5th Cross, Sub Post Office Road,Madiwala  ",Karnataka,Real estate renting and business activities,NANDIGRAM URBAN NIDHI,"SHRI RAM NAGER,NANDED  ",Maharashtra,Financial intermediation,0
RAVI UNITS INFRA,"PLOT NO. 15, FIRST FLOOR,JAI BHERI PINE VALLEYCOLONY,GACHIBOWLI  ",Telangana,Financial intermediation,SD SQUARED INDIA SERVICES,28. 1ST FLOORGAGAN VIHAR  ,Delhi,Real estate renting and business activities,0
SHUBH KALYAN SUGARS,At Post Havargaon Taluka Kallam   ,Maharashtra,Manufacturing,AINTIRAM WEB TECH,"5A, Kuppathevar StreetSulur  ",Tamil Nadu,Real estate renting and business activities,0
VISION PROMOTIONS,4B  CONGRESS EXIBITION ROAD   ,West Bengal,Real estate renting and business activities,VISIONPROMOTIONS,4B  CONGRESS EXIBITION ROAD   ,West Bengal,Real estate renting and business activities,1
CEPRICORN BLEACH,"PLOT NO.12/6, NCL ENCLAVE,PETBASHEERBAD,SECUNDERABAD.  ",Telangana,Manufacturing,CEPRICORNBLEACH,"PLOT NO.12/6, NCL ENCLAVE,PETBASHEERBAD,SECUNDERABAD.  ",Telangana,Manufacturing,1
B B S ALLOYS,"C-19, SMA CO.OP. INDL.ESTATEG.T.K. ROAD, NEW DELHI   ",Delhi,Manufacturing,B B S ALLOYS PRIVATE LIMITED,"C-19, SMA CO.OP. INDL.ESTATEG.T.K. ROAD, NEW DELHI   ",Delhi,Manufacturing,1
SHAILY MEDICAL PLASTICS,"8, J. P. Nagar,Old Padra Road,  ",Gujarat,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,FRIENDLY TOYZ,"442, Room No. 1, Ground Floor, Sector 15A   ",Haryana,Real estate renting and business activities,0
CRR BROADCASTINGS,"D. NO. 17-16-8, CK REDDY ROADBAPTIST PALEM  ",Andhra Pradesh,Other community social and personal service activities,ANGLO AMERICAN INDIA,"A-1/292, Ground FloorJanakpuri  ",Delhi,Real estate renting and business activities,0
PINAGIG TECHNOLOGIES,"NO.3098,10th Cross,1st Main(New 6th Main),GayathriNagar,  ",Karnataka,Real estate renting and business activities,PINAGIGTECHNOLOGIES,"NO.3098,10th Cross,1st Main(New 6th Main),GayathriNagar,  ",Karnataka,Real estate renting and business activities,1
PRIYANK LASERCUT,"8-9, Sutex Ind. EstateOpp. Jagannath Estate, Rakhial  ",Gujarat,Manufacturing,PRIYANK LASERCUT LIMITED,"8-9, Sutex Ind. EstateOpp. Jagannath Estate, Rakhial  ",Gujarat,Manufacturing,1
DIVYA STONES,"49, DIVYA MORDEN COMPLEXBHUWANA  ",Rajasthan,Mining and quarrying,DIVYA STONES PRIVATE LIMITED,"49, DIVYA MORDEN COMPLEXBHUWANA  ",Rajasthan,Mining and quarrying,1
GILMAN LABORATORIES,"16D, ASWINI NAGAR COLONYWEST MAREDMALLYSECUNDERABAD  ",Telangana,Manufacturing,GILMAN LABORATORIES PVT LTD,"16D, ASWINI NAGAR COLONYWEST MAREDMALLYSECUNDERABAD  ",Telangana,Manufacturing,1
FORBES SHIPPING LOGISTICS,"FORBES' BUILDINGCHARANJIT RAI MARG, FORT  ",Maharashtra,Transport storage and communications,THINKCODE TECHNOLOGIES,"C/O DHANANJAY DHAWAD,AT PLOT NO 7,W NO 14-1APPU COLONY,SHEGAON ROAD,AMRAVATI  ",Maharashtra,Real estate renting and business activities,0
PIONEERS ROCKYPARK,DNO. 95/2. SETHARAM PURAM (VILMADDIPADU (M)PRAKASAM DIST MADDIPADU (M) PRAKASAM DIST  ,Andhra Pradesh,Mining and quarrying,PIONEERS ROCKYPARK PVT. LTD.,DNO. 95/2. SETHARAM PURAM (VILMADDIPADU (M)PRAKASAM DIST MADDIPADU (M) PRAKASAM DIST  ,Andhra Pradesh,Mining and quarrying,1
RELIANCE INFRAVENTURES,"H Block, 1st FloorDhirubhai Ambani Knowledge City  ",Maharashtra,Construction,BARMECHA FARMS,"R.NO. 10, 2ND FLOOR, UNITYHOUSE, ABIDS, HYDERABAD.   ",Telangana,Manufacturing,0
CLASSIC TELECOM CABLE NETWORK,"207/166/1, B.T.ROAD, MALLICK COLONEYBARANAGAR, GROUND FLOOR  ",West Bengal,Other community social and personal service activities,KUSHWAHA ENNGINEERING,686 BUDHWAR PETHSHIVGANGA CHAMBER NEARPRABHAT TALKIES  ,Maharashtra,Real estate renting and business activities,0
P R SHIVA FINANCE,"BASANT LOK, SANGAM VIHARJHARODA GAON, MAZRA BURARI  ",Delhi,Financial intermediation,GAONDEVI INVESTMENTS AND FINANCIALSERVICES,"R. NO.1, Haji ChawlEskar Road, Naitodi  ",Maharashtra,Financial intermediation,0
VENKY S INDIA,"VENKATESHWARA HOUSE, S.NO.114/A/2, PUNE - SINHAGADROAD, PUNE- 30  ",Maharashtra,Agriculture & allied,KAROLY BIOTECH,"40-9-60, 1st Floor, Kohinoor ApartmentsKalanagar, Benz Circle  ",Andhra Pradesh,Agriculture & allied,0
PROMINENT PROPERTIES,"B-8, Lower Ground Floor, Panchsheel Enclave,   ",Delhi,Real estate renting and business activities,OHIO PROPERTIES,"493B GT ROADFLAT M-7, BJM INDUSTRIES COMPOUND  ",West Bengal,Real estate renting and business activities,0
IMDADALLYS MARKETING,32 VEER PARK ROADNEEMUCHCANTT  ,Madhya Pradesh,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,IMDADALLYS MARKETING LIMITED,32 VEER PARK ROADNEEMUCHCANTT  ,Madhya Pradesh,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
LEADBETER SEEDS,"19, Raj Mahal, 84,Veer Nariman Road, Churchgate  ",Maharashtra,Manufacturing,LEADBETER SEEDS LIMITED,"19, Raj Mahal, 84,Veer Nariman Road, Churchgate  ",Maharashtra,Manufacturing,1
AMIT MEDICAL STORES,"A-1/12, G/FMAIN ROAD MAUJPUR  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,M Y F EDUTECH,"56/57M G MARG , BEHIND HDFC BANK  ",Uttar Pradesh,Real estate renting and business activities,0
UNITED SOCIO ECONOMIC DEVELOPMENT ANDRESEARCHN PROGRAMME,"PARMAR HOUSE,2413 EAST STREETGEN.THIMAYYA ROAD,CAMP  ",Maharashtra,Real estate renting and business activities,UNITED SOCIO ECONOMIC DEVELOPMENT ANDRESEARCHN PROGRAMME PVT LTD,"PARMAR HOUSE,2413 EAST STREETGEN.THIMAYYA ROAD,CAMP  ",Maharashtra,Real estate renting and business activities,1
VKG BUILDERS,"H.NO. 4596/3/11, Gali No.11Near Mittal Office,Ansari Road, Darya Ganj  ",Delhi,Construction,CNACT TECHNOLOGIES,"CABIN NO:25,LEVEL-1,AM@10,MB TOWERSH.NO: 8-2-624/A/1,ROAD NO: 10,BANJARA HILLS  ",Telangana,Real estate renting and business activities,0
ERAM INFOTECH,"11/31 (7), II FLOOR, CHOICE TOWERSG B ROAD,PALAKKAD  ",Kerala,Real estate renting and business activities,TAMA SYSTEMS INDIA,"""GRAND CAG CENTRAL'', T-1 in Third Floor,New D.No.787,Avinashi Road, Nava India, Peelamedu,  ",Tamil Nadu,Real estate renting and business activities,0
VPODS TECHNOLOGIES,"P.NO-S1, EDEN SPRINGDALEM G ROAD, PIRATTIYUR WEST  ",Tamil Nadu,Real estate renting and business activities,GOINDWAL SHODDY SPINNERS,4MOHINDRA AVENUEAMRITSAR  ,Punjab,Manufacturing,0
KLRD BUILDERS,D -3/124Siv Durga Vihar Lakarpur  ,Haryana,Real estate renting and business activities,KLRDBUILDERS,D -3/124Siv Durga Vihar Lakarpur  ,Haryana,Real estate renting and business activities,1
LIEBHERR WERK EHINGEN GMBH,SHUBHAM 1005 10TH FLOOR1 RAWDON STREET KOLKATA  ,West Bengal,Agriculture & allied,VEEJAY FINMANCO,"33 A, JAWAHARLAL NEHRU ROAD,4TH FLOOR, FLAT NO. A-1  ",West Bengal,Real estate renting and business activities,0
SUPREME SILAGE INDIA,"N3, Plot No 414/B, Cidco   ",Maharashtra,Agriculture & allied,COTTONCITY FARM HOUSES,1029AVANASHI ROADCOIMBATORE  ,Tamil Nadu,Real estate renting and business activities,0
MANJU PRINT PACK,H-8 INDUSTRIAL AREAORAIJALAUN  ,Uttar Pradesh,Manufacturing,MUTHU FLOUR MILLS,"22, VEDAPPA STREET,CHENGALPATTU-603 002.CHENGALPATTU-603 002.  ",Tamil Nadu,Manufacturing,0
XSILICA SOFTWARE SOLUTIONS,"8-2-120/112/b/5 & 6, 3rd Floor, BBR FOURMBANJARA HILLS, ROAD NO. 2  ",Telangana,Real estate renting and business activities,ECOMSTEP INFOLINE,53/A E BLOCK EASTBAGHAJATIN   ,West Bengal,Real estate renting and business activities,0
JOYSHREE INDIA,"1ST FLOOR, ROYAL CENTRE, OPP. DEORAH COLLEGEG.S. ROAD, ULUBARI  ",Assam,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,MANJU PRINT PACK,H-8 INDUSTRIAL AREAORAIJALAUN  ,Uttar Pradesh,Manufacturing,0
MANGALMURTI LIFE SPACE INDIA,"48, GOKHALE ROAD, NEAR JAKHADEVI TEMPLEDADAR(W),  ",Maharashtra,Real estate renting and business activities,MANGALMURTI  LIFE  SPACE  INDIA,"48, GOKHALE ROAD, NEAR JAKHADEVI TEMPLEDADAR(W),  ",Maharashtra,Real estate renting and business activities,1
TSAMA TEXTILES GARMENTS INTERNATIONAL,"R No. 08, Siddiqui Manzil,Choudhri Mahalla, Kalyan  ",Maharashtra,Real estate renting and business activities,C R T DEVICES,,Delhi,Extraterritorial organizations and bodies,0
FUTURE FARMING MARKETING,"NIGAM KUTIRA,MATHASAHIPS-BHADRAK  ",Orissa,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,FUTURE FARMING MARKETING PVT LTD,"NIGAM KUTIRA,MATHASAHIPS-BHADRAK  ",Orissa,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
ACCRUE INTERTRADE MARKETING,"2/1, MOTILAL NEHRU ROADMEZZANINE FLOOR  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,JBS INFOSERVICES,"K -98,  Sarita Vihar,   ",Delhi,Real estate renting and business activities,0
FREEBOARD CREWING AND SHIP MANAGEMENT INDIA,"E/128-15 , CIDCOSATARA  ",Maharashtra,Construction,FREEBOARD CREWING AND SHIP MANAGEMENT INDIA PRIVATE LIMITED,"E/128-15 , CIDCOSATARA  ",Maharashtra,Construction,1
CFIRST BACKGROUND CHECKS INDIA,"A/7 - Ground Floor, Safal Profitaire, Off. 100 FT,Prahaladnagar Road, Opp. Auda Garden, Satellite,  ",Gujarat,Real estate renting and business activities,CFIRST BACKGROUND CHECKS INDIA LIMITED,"A/7 - Ground Floor, Safal Profitaire, Off. 100 FT,Prahaladnagar Road, Opp. Auda Garden, Satellite,  ",Gujarat,Real estate renting and business activities,1
VAINI INDUSTRIA,"D-89, Second Floor, East of Kailash,   ",Delhi,Real estate renting and business activities,STALLION PACKAGING,"Plot No. 135, Sector-6,IMT Manesar  ",Haryana,Real estate renting and business activities,0
SANIREMA AUDIO,"LAHIRI HOUSE,PLOT NO.4,JVPD SCHEME,JUHUBOMBAY -49.  ",Maharashtra,Other community social and personal service activities,SANIREMA  AUDIO,"LAHIRI HOUSE,PLOT NO.4,JVPD SCHEME,JUHUBOMBAY -49.  ",Maharashtra,Other community social and personal service activities,1
AUCOUSTIC SYSTEMS INDIA,"3,AMAR APARTMENTS.10-3-73/6 EAST MARREDPALLY  ",Telangana,Manufacturing,AUCOUSTIC SYSTEMS INDIA PRIVATE LIMITED,"3,AMAR APARTMENTS.10-3-73/6 EAST MARREDPALLY  ",Telangana,Manufacturing,1
PINKBLUE FASHION,"471/4,KRISHNA NAGAR,  ",Haryana,Real estate renting and business activities,PINKBLUE FASHION PRIVATE LIMITED,"471/4,KRISHNA NAGAR,  ",Haryana,Real estate renting and business activities,1
MAUSAM LAUNDRY SYSTEMS,"TF-6, ALAKNANDA COMPLEX,ZONE- I, M.P. NAGAR,  ",Madhya Pradesh,Other community social and personal service activities,JASCH AUTOMATION,43/5 BAHALGARH ROAD   ,Haryana,Manufacturing,0
SOLBAACKEN BUSINESS SOLUTION,"""PRAKASH PRESIDIUM"", NO. 110, MAHATMA GANDHI ROADNUNGAMBAKKAM  ",Tamil Nadu,Real estate renting and business activities,DAAKSHAYANI STEEL,"Flat No. 1105, C-Block, Ramky TowersAnjaiah Nagar, Gachibowli  ",Telangana,Manufacturing,0
SANSKAR SUGARS AGRO PRODUCTS,"FLAT NO. 4, 1202/3/19, CHANDRASHIL APARTMENTSHIVAJINAGAR  ",Maharashtra,Manufacturing,SANSKAR SUGARS AGRO PRODUCTS PVT. LTD.,"FLAT NO. 4, 1202/3/19, CHANDRASHIL APARTMENTSHIVAJINAGAR  ",Maharashtra,Manufacturing,1
COGNITION PROJECTS,"D/1, RAMKRISHNA UPANIBESHJADAVPUR, SULEKHA  ",West Bengal,Construction,ALFATECH,125 KAILASH HILLSEAST OF KAILASH   ,Delhi,Real estate renting and business activities,0
VAINADEY IMPEX SERVICES,"NEW NO.5/1/2 (Old No.3/1/2), 4TH STREETBHARATHI NAGAR, T. NAGAR  ",Tamil Nadu,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,AGARVANSHI ALUMINIUM AND INFRA,"8-2-293/82J/A/105, PLOT NO.105A1ST FLOOR, JOURNALIST COLONY, JUBILEE HILLS  ",Telangana,Real estate renting and business activities,0
INVESTWELL SECUREX,"102 VEERMAHAL, OPP BHARATMATA THEATRELALBAUG-PAREL  ",Maharashtra,Financial intermediation,PS PLYLAM,"93/2, (2nd FLOOR), WHS,KIRTI NAGAR  ",Delhi,Manufacturing,0
BEACON INVESTMENTS,"VATSA HOUSE,JANMABHOOMI MARG,FORT,   ",Maharashtra,Financial intermediation,BEACON INVESTMENTS PVT LTD,"VATSA HOUSE,JANMABHOOMI MARG,FORT,   ",Maharashtra,Financial intermediation,1
SONU WIRES PRODUCTS,745CIVIL LINES SOUTHMUZAFFAR NAGAR  ,Uttar Pradesh,Manufacturing,SONU WIRES PRODUCTS LIMITED,745CIVIL LINES SOUTHMUZAFFAR NAGAR  ,Uttar Pradesh,Manufacturing,1
SIVAPRIYA PERMANENT FUND,"DOOR NO. 1-65-A/1,KOMARIPALEMBIKKAVOLE MANDAL  ",Andhra Pradesh,Financial intermediation,RATI PAPER TRADING,"13 LABURNUM ROAD,SETHNA HOUSE,GAMDEVI,BOMBAY -7.   ",Maharashtra,Extraterritorial organizations and bodies,0
OMNICORP,"188, BICSIDDHARTHA EXT  ",Delhi,Real estate renting and business activities,OMNICORP PVT. LTD.,"188, BICSIDDHARTHA EXT  ",Delhi,Real estate renting and business activities,1
JETRO DEL BIO FUELS,28  J J NAGAR MAIN ROAD NEAR SIRSI CIRCLE   ,Karnataka,Mining and quarrying,RAGHAVI FOODS BEVERAGES,"9, KAPIL VIHARPITAMPURA, SECOND FLOOR  ",Delhi,Manufacturing,0
